,wape,mae,rmse,rmsle,bias,smape,spearman,top6_hit,coverage80,interval_score,pinball10,pinball90,pred_total,actual_total
heuristic,0.6809128927102764,25.394045528136193,37.81609362353026,0.9646228945804799,-0.5661634300929007,0.7998923299568335,0.2925223844658839,0.6666666666666666,0.8823529411764706,105.75642988476827,3.475434642581422,7.100208345895403,275.0523853211009,634.0
naive_family,0.6906083223388618,25.755628021343433,30.94550567969508,1.9045235102798417,0.12945811607824545,1.1337848476341439,0.6269957565555969,0.6666666666666666,0.7647058823529411,548.5726586226283,3.4364451960832576,51.420820666179566,716.0764455936077,634.0
size_ratio,1.256570120433882,46.862673903240065,86.09528733353693,1.6763090677897432,0.7955088090600697,0.8827357077909751,0.5261861750480378,0.6666666666666666,0.8235294117647058,755.4615526686039,3.1798629342466636,72.3662923326137,1138.3525849440841,634.0
ridge,0.6824879846145697,25.452787190919835,37.954161118070445,1.0112817853560132,-0.3447573718980415,0.7519000232086906,-0.16349185991807508,0.16666666666666666,0.5882352941176471,152.45267228263307,3.4125079739293085,11.832759254333999,415.42382621664166,634.0
lasso,0.6653547214455922,24.813817258617966,37.75994614543444,0.9709160316997936,-0.5403525804562433,0.7612199668186368,0.05531679470912315,0.3333333333333333,0.6470588235294118,134.3909644532051,3.2278522539097576,10.211244191410753,291.4164639907417,634.0
elasticnet,0.6577603261299989,24.53059098625996,37.227423473348004,0.947875336996774,-0.5170506951581988,0.7484618734231342,0.08973613363924422,0.3333333333333333,0.7058823529411765,133.45618273097142,3.2088908721321543,10.136727400964988,306.18985926970197,634.0
poisson_glm,0.7887175453400385,29.414524926210845,40.12092258329378,0.9564537142596788,-0.08176461648522733,0.7974169419210986,0.07498498838347804,0.3333333333333333,0.8235294117647058,142.27943254682114,3.1373659020152957,11.090577352666816,582.1612331483659,634.0
negbin_glm,0.7185592557592076,26.798033420666922,37.501373301595116,0.9330915098409023,-0.27207556702310165,0.7839978016789424,-0.011063358941824631,0.3333333333333333,0.7647058823529411,154.62626053200214,3.729411764705883,11.73321428849433,461.50409050735357,634.0
random_forest,0.6030449222418959,22.490028276550703,34.59510892871474,0.8769342330174608,-0.35288548607964365,0.6679085130497723,0.07621425048812523,0.3333333333333333,0.8235294117647058,108.89060080775558,3.361429275841667,7.52763080493389,410.27060182550593,634.0
xgboost,0.733893999165917,27.3699291453642,40.0287302861513,1.1918849859168208,-0.4315150889688486,0.8472661802978882,-0.6674893228234193,0.16666666666666666,0.5294117647058824,139.17775445825913,3.29201421176686,10.625761234059052,360.41943359375,634.0
lightgbm,0.7211494254228994,26.894631512830486,35.26515591555197,1.028384765092248,-0.1678282908973868,0.8030816223386513,-0.1757844809645469,0.16666666666666666,0.5294117647058824,153.28389284003163,3.790885969297232,11.537503314705924,527.5968635710568,634.0
gompertz,0.6521542717764062,24.321518135661265,35.48770696625747,0.8603526001790561,-0.2876049868972085,0.7198940343678717,0.05039974629053443,0.16666666666666666,0.6470588235294118,127.79415079900025,2.7405606519659074,10.038854427934117,451.65843830716983,634.0
logistic,0.6574049054496592,24.517335885593173,36.1143665305404,0.8880383035431653,-0.3090799966471544,0.7294787270772097,0.024585242092943625,0.16666666666666666,0.6470588235294118,134.108138103404,2.802295621585615,10.608518188754786,438.0432821257041,634.0
bass,0.6746429394596857,25.1602131539671,36.51088309550776,0.8903310287129679,-0.30093238916140735,0.7397083917227759,0.06760941575559497,0.16666666666666666,0.6470588235294118,136.9169639945852,2.76721873296795,10.924477666490573,443.2088652716677,634.0
hier_bayes,0.4649459005299373,17.33974711388119,23.76519595486674,0.5987247383722529,0.09265678664278393,0.4920797892937986,0.7178890691139538,0.6666666666666666,1.0,85.86470588235295,3.4529411764705884,5.133529411764706,692.744402731525,634.0
knn_lookalike,0.7123980647426764,26.568257238050403,35.200280286217414,0.860587619456844,0.008404437833304638,0.7217375140264624,0.21635013041790388,0.3333333333333333,0.6470588235294118,134.7187716366809,3.3922612274310833,10.079615936237005,639.328413586315,634.0
matrix_factorisation,0.6856585659409948,25.571031223917103,38.34414793910721,0.9740447668968581,-0.432003677255859,0.7593955574479202,0.2251696912115682,0.3333333333333333,0.7058823529411765,143.2802822505108,3.001199637426254,11.32682858762483,360.10966861978534,634.0
cluster_pool,0.7318349106203996,27.29313725490196,40.6972010487529,1.09154617703801,-0.4223711882229232,0.8017176009696886,0.09475723341445395,0.16666666666666666,0.8823529411764706,162.14621994552166,3.2686020522350256,12.946019942317138,366.2166666666667,634.0
ensemble,0.7129719877959797,26.589661191920655,35.233200063981066,1.0119838745823142,-0.1770624058936401,0.7962859409018631,-0.1499699767669561,0.16666666666666666,0.6470588235294118,138.91763478787678,3.269671305080561,10.622092173707118,521.7424346634322,634.0
