wape,mae,rmse,rmsle,bias,smape,spearman,top6_hit,coverage80,interval_score,pinball10,pinball90,model,origin,n_test,n_train,cohort_units,pred_units
0.7702333333333332,25.995374999999996,27.290597461053324,1.5253245511749243,-0.7702333333333332,1.2868370845963586,0.632455532033676,1.0,0.5,84.95993591464249,3.2248252777391047,5.271168313725144,heuristic,2020-11-07,4,30,135.0,31.018499999999996
1.0,33.75,35.42950747611375,3.509757268375045,-1.0,2.0,,1.0,0.0,298.987259182225,3.375,26.523725918222496,naive_family,2020-11-07,4,30,135.0,0.0
0.41851851851851846,14.124999999999998,14.977065800750157,1.498566573503903,-0.12962962962962957,0.7425932867359013,0.9486832980505139,1.0,0.75,116.91418519276243,2.460210543671984,9.231207975604258,size_ratio,2020-11-07,4,30,135.0,117.5
0.7525087193484724,25.397169278010942,26.672964217327277,1.4115643354468752,-0.7525087193484724,1.2232237154068224,0.39999999999999997,1.0,0.0,190.20056021098293,2.9532535328950478,16.06680248820325,ridge,2020-11-07,4,30,135.0,33.41132288795623
0.6365350626193104,21.483058363401724,22.845405758748434,1.0259386883548853,-0.6365350626193104,0.9369537735721191,0.632455532033676,1.0,0.0,124.78660583796558,2.737642150408738,9.741018433387822,lasso,2020-11-07,4,30,135.0,49.06776654639309
0.6639531412935259,22.4084185186565,23.72741426539537,1.1210181975788822,-0.6639531412935259,1.0050866154963833,0.39999999999999997,1.0,0.0,144.55026320264844,2.7727877235922094,11.682238596672633,elasticnet,2020-11-07,4,30,135.0,45.366325925373985
0.6467679837309424,21.828419450919306,24.344761155642342,0.9959916386809191,-0.6467679837309424,0.8875031323118691,,1.0,0.25,103.67449095877696,2.9056912342702987,7.461757861607397,poisson_glm,2020-11-07,4,30,135.0,47.68632219632277
0.6145572806002305,20.74130822025778,23.374973084214083,0.9206950267718502,-0.6145572806002305,0.8181007157295466,,1.0,0.25,136.64581812704972,3.1339307042963904,10.53065110840858,negbin_glm,2020-11-07,4,30,135.0,52.03476711896888
0.3041426345832578,10.26481391718495,12.225424896134113,0.3833620076276921,-0.2903329461502694,0.32659029243462123,0.7999999999999999,1.0,1.0,53.47565130539646,2.587481438115621,2.760083692424024,random_forest,2020-11-07,4,30,135.0,95.80505226971364
0.5055819970590097,17.063392400741577,18.9627239951727,0.6966832921964424,-0.5055819970590097,0.6388852470952436,0.39999999999999997,1.0,0.75,66.40304160118103,2.1849890470504763,4.455315113067626,xgboost,2020-11-07,4,30,135.0,66.74642944335938
