model,origin,child_asin,colour,size,y_units,pred,lo,hi
lightgbm,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,11.79539539940346,5.772961334225919,21.173402233374517
gompertz,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,8.423227486200814,4.135242211919848,16.29172891798088
gompertz,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,18.313600192091467,10.562624199001439,31.26042340908819
gompertz,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,0.0,0.0,2.84816015638618
gompertz,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,0.0,0.0,2.84816015638618
logistic,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,8.320570603429188,4.107251712153533,16.009742473976736
logistic,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,17.196797548759015,9.928306452526375,29.299611606698118
logistic,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,0.0,0.0,2.8352600262590304
logistic,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,0.3499187835060121,0.0,4.177289549076826
bass,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,8.329910000987123,4.124391429254343,15.986840647960792
bass,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,16.871815301750097,9.74113536623354,28.736314764634567
bass,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,0.07941231847224528,0.0,3.1358252356809144
bass,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,0.8316246943637395,0.0,6.017966632035131
hier_bayes,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,41.233115193519886,9.0,85.0
hier_bayes,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,36.49926050170091,8.0,72.0
hier_bayes,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,34.80237019850516,6.0,73.0
hier_bayes,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,26.778126419984858,5.0,55.0
knn_lookalike,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,35.910844539728245,13.663275761643606,72.11277792258691
knn_lookalike,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,36.55978203038368,13.687672987794013,96.49394369577168
knn_lookalike,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,21.997734751735216,12.27389758299597,31.54350402834005
knn_lookalike,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,23.611718975823344,12.389587811669854,40.03241568285647
matrix_factorisation,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,24.65222400347127,16.326879307933446,36.97779072789946
