,all_wape,all_mae,all_rmse,all_rmsle,all_bias,all_smape,all_spearman,all_top6_hit,all_coverage80,all_interval_score,all_pinball10,all_pinball90,cold_wape,cold_mae,cold_rmse,cold_rmsle,cold_bias,cold_smape,cold_spearman,cold_top6_hit,cold_coverage80,cold_interval_score,cold_pinball10,cold_pinball90,cold_n,all_n,pred_total_cold,actual_total_cold
heuristic,0.8948871779558938,243.39890673914314,634.6064208176547,1.8125193671789304,-0.8853376051480635,1.1350067644703508,0.24981997448223547,0.0,0.5581395348837209,1877.3490708281074,26.630112354359877,161.10479472845083,0.7245275568869621,67.91492520082524,104.58921984008757,1.111885544478228,-0.6789450608990553,0.8499824696921688,0.38488084085857877,0.5,0.8421052631578947,329.66394883284636,8.74797022129382,24.21842466199082,19.0,86.0,571.7988465387822,1781.0
naive_family,0.6506518048366761,176.969725196915,416.9058234071725,1.4667594939489237,-0.22219853897257183,0.7537454121984356,0.7234643596532557,0.5,0.9069767441860465,2846.545074919262,25.862462027292512,258.7920454646336,0.6073225407229098,56.92849710671065,65.7389090373647,2.389662018665448,-0.15669129417188127,1.132866035806008,0.5854400919931372,0.8333333333333334,0.6842105263157895,1194.701621669469,8.844203787514228,110.62595837943267,19.0,86.0,1501.9328050798795,1781.0
size_ratio,0.8366819442616074,227.5677599793402,576.4018379822642,1.3437518071051238,-0.04249301957832571,0.7460852640040694,0.6873749635320818,0.5,0.9186046511627907,2538.6852931508356,26.631758517716893,227.2367707973666,0.8078097632608147,75.721536229869,115.41533961432482,1.866797744568718,0.11866582432517493,0.845486351400709,0.5171505957950322,0.6666666666666666,0.8421052631578947,1116.8934736467363,8.362836106752518,103.32651125792113,19.0,86.0,1992.3438331231368,1781.0
ridge,0.8487680938810205,230.8550521391971,611.8575707611535,1.6448101103927268,-0.8029335469205018,1.0719753132145227,0.2627127048213158,0.5,0.27906976744186046,1993.2825254250813,25.72659956022572,173.60165298228242,0.7447005553666296,69.80587837410354,103.48878984700032,1.2473824897200423,-0.3446078420563199,0.8668125903715851,-0.18437232742411594,0.16666666666666666,0.42105263157894735,492.2285077643675,9.024591301624412,40.198259474812346,19.0,86.0,1167.253433297694,1781.0
lasso,0.8189108576523662,222.73423106216856,598.7080502320969,1.4218251691823915,-0.7889953471541126,0.9623672273096322,0.5237535862861631,0.6666666666666666,0.3953488372093023,1794.8652375520994,25.492312304346907,153.994211450863,0.6364000859281906,59.65413437042671,95.0924189875716,1.0961924954581561,-0.4190635516592987,0.7378087389442918,0.13520637344435169,0.3333333333333333,0.5789473684210527,389.7814395588579,8.381481749087287,30.59666220679851,19.0,86.0,1034.647814494789,1781.0
elasticnet,0.8143650181374035,221.49781557269773,594.5324251362438,1.43565935424978,-0.7824429214856613,0.9725474333238103,0.47907988435595217,0.5,0.37209302325581395,1801.6611947999586,25.341910872549,154.82420860744693,0.6560109955140534,61.49239910581732,96.54240675335286,1.1191286301933447,-0.40283330948455853,0.7618371920256629,0.09306412717598232,0.3333333333333333,0.5789473684210527,415.20436543279766,8.406614989100838,33.113821554178934,19.0,86.0,1063.5538758080013,1781.0
poisson_glm,0.7877231447553273,214.25153580199841,587.4659908089653,1.3292010854335041,-0.7421639345097225,0.8530721343328401,0.46127463299314436,0.5,0.5813953488372093,1570.4787062624941,25.299985294610615,131.74788533163877,0.5966646745880004,55.92946239164362,89.64524153461367,0.7959815471744831,-0.35389540115392315,0.6356633451737386,0.38191410680709725,0.16666666666666666,0.7894736842105263,295.25866388098456,7.161464026365475,22.36440236173298,19.0,86.0,1150.7122905448625,1781.0
negbin_glm,0.7861894289111162,213.83438292627812,586.802856593178,1.3104665016874517,-0.7433548418313054,0.844065799128107,0.4949402507997317,0.8333333333333334,0.43023255813953487,1814.175853106453,26.1150613725835,155.30252393806182,0.6071233438273335,56.90982501876215,91.58146078638673,0.8218870028403332,-0.3871687060009996,0.6506493655983437,0.22914846408425835,0.16666666666666666,0.7368421052631579,381.8135121836614,8.198830944926314,29.982520273439825,19.0,86.0,1091.4525346122193,1781.0
random_forest,0.7783224783372644,211.6946638463599,606.0258666115502,1.3259915047463013,-0.6934993184104893,0.7869536243247892,0.4013058279760461,0.16666666666666666,0.6395348837209303,1543.8107164199837,25.394448958582633,128.9866226834157,0.6802321948169696,63.76281784047489,83.36582154360794,1.2550920713757903,0.0020823647401257295,0.7116550010636682,0.155399533114612,0.3333333333333333,0.7368421052631579,292.0943526509993,9.121360225518341,20.08807503958159,19.0,86.0,1784.708691602164,1781.0
xgboost,0.7486879954530309,203.63442908885867,578.8689862283755,1.2185648613218414,-0.6214641724180775,0.7766100787218503,0.5114802373352798,0.8333333333333334,0.36046511627906974,1836.3983527116998,25.828384845201352,157.81145042596864,0.8500142940840381,79.6776556717722,94.87287596015493,1.3149142230684754,0.13914685942763896,0.8383788844205329,-0.08252856560888999,0.3333333333333333,0.42105263157894735,401.38236336959034,10.476259833888003,29.661976503071035,19.0,86.0,2028.820556640625,1781.0
