wape,mae,rmse,rmsle,bias,smape,spearman,top6_hit,coverage80,interval_score,pinball10,pinball90,pred_total,actual_total,model,origin,n_test
0.8459090909090909,20.93625,24.548700131066003,1.629209832535142,-0.8459090909090909,1.4580301308731816,0.9486832980505139,1.0,0.25,116.4209521990606,2.4086372740638975,9.233457945842163,15.255,99.0,heuristic,2020-11-07,4
1.0,24.75,28.892040426387332,3.1320519816722183,-1.0,2.0,,1.0,0.0,214.513733247132,2.475,18.976373324713194,0.0,99.0,naive_family,2020-11-07,4
0.6212121212121212,15.375,17.735909900537948,1.5151552911143709,-0.6212121212121212,1.0071810542398778,0.7999999999999999,1.0,0.75,53.00938329341968,2.183620995196702,3.117317334145266,37.5,99.0,size_ratio,2020-11-07,4
0.5381799707854075,13.319954276938835,17.266438775382102,0.676448340031656,-0.5381799707854075,0.6380987123687116,1.0,1.0,0.5,83.49097565233757,1.7757622841246745,6.573335281109083,45.72018289224466,99.0,ridge,2020-11-07,4
0.7468274692880235,18.48397986487858,22.274464735157974,1.180403112368959,-0.7468274692880235,1.1118827720452509,1.0,1.0,0.0,130.66009927291475,2.1855673251103678,10.880442602181105,25.064080540485676,99.0,lasso,2020-11-07,4
0.7687397710561072,19.026309333638654,22.882604111458885,1.2586707431598079,-0.7687397710561072,1.1813388241391825,1.0,1.0,0.0,141.30374229454657,2.2094345298210123,11.920939699633648,22.894762665445388,99.0,elasticnet,2020-11-07,4
0.6238129599973157,15.439370759933563,21.238321967023467,0.9285571126956205,-0.611262283630995,0.6962136245390853,,1.0,0.5,94.66628752987859,2.0896896409424985,7.376939112045359,38.48503392053149,99.0,poisson_glm,2020-11-07,4
0.6160165396591757,15.246409356564598,20.965166434068497,0.9014838456409985,-0.595669442954715,0.6833943318686238,,1.0,0.5,115.6468094931092,2.2015246737308116,9.363156275580112,40.028725147483215,99.0,negbin_glm,2020-11-07,4
0.6027825825945788,14.918868919215825,18.717771189251078,0.7971833689023845,-0.6027825825945788,0.7488440955461859,1.0,1.0,0.5,72.64318121362346,2.0898416277595864,5.174476493602761,39.3245243231367,99.0,random_forest,2020-11-07,4
0.6585910874183731,16.300129413604736,19.721831071237887,0.9377079219836041,-0.6585910874183731,0.9126815087078329,1.0,1.0,0.5,93.63520300388336,1.9956618428230286,7.367858457565308,33.79948425292969,99.0,xgboost,2020-11-07,4
0.7012966547835139,17.35709220589197,20.771149922125588,1.0542147731297733,-0.7012966547835139,1.0206186100297359,1.0,1.0,0.25,118.55441943846388,2.03254190140662,9.822900042439766,29.57163117643212,99.0,lightgbm,2020-11-07,4
0.43048021265995834,10.65438526333397,14.652453884160275,0.49675965264000876,-0.43048021265995834,0.4441434584243698,1.0,1.0,0.5,60.98056926444836,1.580969011887328,4.517087914557507,56.38245894666412,99.0,gompertz,2020-11-07,4
0.47741419453645684,11.816001314777306,15.75725770630197,0.5697423062442529,-0.47741419453645684,0.5267236613599531,1.0,1.0,0.5,70.6149774108842,1.665585656866002,5.3959120842224175,51.735994740890774,99.0,logistic,2020-11-07,4
0.5008344128902299,12.39565171903319,16.327777514508103,0.6092454544336086,-0.5008344128902299,0.569149060258861,1.0,1.0,0.5,75.51325137267384,1.7079678995519103,5.843357237715474,49.41739312386724,99.0,bass,2020-11-07,4
0.5217015356955764,12.912113008465518,17.756071930796107,0.6564480143179617,-0.4870182604904602,0.5419381035988289,1.0,1.0,0.75,65.5,2.2,4.35,50.78519221144444,99.0,hier_bayes,2020-11-07,4
0.5943467523376535,14.710082120356924,19.413426227035917,0.7928462888506086,-0.5943467523376535,0.68767090410141,1.0,1.0,0.5,93.64656614964787,1.9838533001222782,7.380803314842509,40.159671518572296,99.0,knn_lookalike,2020-11-07,4
0.6441661102210948,15.943111227972096,20.375049633003364,0.9024626895619344,-0.6441661102210948,0.801659369361757,0.9486832980505139,1.0,0.25,103.18149167272979,2.032670454808016,8.285478712464963,35.227555088111615,99.0,matrix_factorisation,2020-11-07,4
0.6161616161616161,15.25,21.230873745562146,0.9210132209728735,-0.5959595959595959,0.6789473684210525,-0.316227766016838,1.0,0.5,90.61324045647537,2.075416637063326,6.98590740858421,40.0,99.0,cluster_pool,2020-11-07,4
0.4596935492037637,11.377415342793151,15.587311746094032,0.5409959125517447,-0.4596935492037637,0.47689002413379933,1.0,1.0,0.5,56.06407541975042,1.9650691927386212,3.6413383492364204,53.490338628827395,99.0,ensemble,2020-11-07,4
0.8853263350068462,74.36741214057508,75.79567782860474,2.223556482314318,-0.8853263350068462,1.600953704325015,0.5,1.0,0.0,551.3615873887012,8.154465679349897,46.98169305952023,28.897763578274763,252.0,heuristic,2022-03-04,3
0.6130970423208789,51.500151554953824,52.405590067900285,0.9598797319718669,-0.6130970423208789,0.8957282258948082,1.0,1.0,1.0,235.4744658227362,8.032681223471506,15.514765358802107,97.49954533513852,252.0,naive_family,2022-03-04,3
0.751984126984127,63.166666666666664,65.42702483096181,1.4839836451431612,-0.751984126984127,1.2209549665273929,0.5,1.0,0.3333333333333333,144.15221720341023,8.066446117882904,6.348775602458118,62.49999999999999,252.0,size_ratio,2022-03-04,3
0.9608447002939992,80.71095482469593,82.20963429582191,3.08656048530499,-0.9608447002939992,1.851491604006619,0.5,1.0,0.0,759.713159945895,8.291090901200214,67.6802250933893,9.867135525912198,252.0,ridge,2022-03-04,3
0.9184676396505388,77.15128173064527,78.61646273043696,2.434031393066606,-0.9184676396505388,1.7009690627529552,0.5,1.0,0.0,705.134855792044,8.104623684490434,62.40886189471396,20.546154808064234,252.0,lasso,2022-03-04,3
0.9409749595013164,79.04189659811057,80.51945868262398,2.7294248732474506,-0.9409749595013164,1.7796991742226913,0.5,1.0,0.0,736.0558785135576,8.208544953368788,65.39704289798698,14.874310205668294,252.0,elasticnet,2022-03-04,3
0.8404915742697568,70.60129223865958,72.18811402773919,1.8962246040649182,-0.8404915742697568,1.4622456449563865,0.5,1.0,0.0,576.2450119913473,7.799126521465958,49.825374677668776,40.19612328402127,252.0,poisson_glm,2022-03-04,3
0.8406258556114897,70.61257187136513,72.3016226305016,1.8782013872318155,-0.8406258556114897,1.4583182595406285,0.5,1.0,0.0,632.8441319360433,7.977277021856614,55.30713617174772,40.16228438590459,252.0,negbin_glm,2022-03-04,3
0.9074695829315044,76.22744496624637,77.67115489821312,2.2860562413264334,-0.9074695829315044,1.661539975816883,0.5,1.0,0.0,642.2892755727377,8.203382750946313,56.02554480632747,23.317665101260932,252.0,random_forest,2022-03-04,3
0.915953897294544,76.9401273727417,78.36045821950677,2.385435164257665,-0.915953897294544,1.6921598623787577,0.5,1.0,0.0,650.1304152011871,7.956728005409242,57.05631351470947,21.17961883544922,252.0,xgboost,2022-03-04,3
0.9275038467259796,77.9103231249823,79.46070567195359,2.5022352150116274,-0.9275038467259796,1.7272005893083666,0.5,1.0,0.0,651.3688889277379,8.096720336315679,57.040168556458106,18.269030625053148,252.0,lightgbm,2022-03-04,3
0.9668736093560913,81.21738318591167,82.698007042235,3.423759934940633,-0.9668736093560913,1.8774742934858681,0.5,1.0,0.0,771.7765638514325,8.300277686838447,68.87737869830481,8.347850442264997,252.0,gompertz,2022-03-04,3
0.9652376824011237,81.07996532169439,82.55856519055584,3.3018960093224226,-0.9652376824011237,1.8705147406987173,0.5,1.0,0.0,768.1074499005213,8.297626650160083,68.51311833989205,8.760104034916797,252.0,logistic,2022-03-04,3
0.9637398205692147,80.95414492781403,82.43976827805552,3.212457965409492,-0.9637398205692147,1.863910384608807,0.5,1.0,0.0,764.5063061113898,8.295741200252833,68.15488941088616,9.137565216557917,252.0,bass,2022-03-04,3
0.8032565521706744,67.47355038233665,69.35837894314251,1.6406783564975589,-0.8032565521706744,1.343463692518597,0.5,1.0,0.0,531.0333333333333,8.133333333333333,44.96999999999999,49.579348852990066,252.0,hier_bayes,2022-03-04,3
0.722570834142146,60.69595006794026,61.53014951942946,1.3655382628818964,-0.722570834142146,1.1639379072233085,1.0,1.0,0.0,360.2728786037779,7.61899135671657,28.40829650366122,69.91214979617922,252.0,knn_lookalike,2022-03-04,3
